Facility_ID,Facility_Name,address
20,Abbotsford Ice Rink,"14-34100 S FRASER WAY, ABBOTSFORD, BC"
27,Performance Tennis Academy,"125-2550 YALE CT, ABBOTSFORD, BC"
259,Ajyal Islamic Centre,"202-181 KEEFER PL, VANCOUVER, BC"
299,Surrey Sport & Leisure Complex,"100-16555 FRASER HWY, SURREY, BC"
338,Newton Youth Hub,"114-13479 76 AVE, SURREY, BC"
405,City Centre Community Centre,"105-5900 MINORU BLVD, RICHMOND, BC"
446,Stage 18 Badminton Centre,"170-2351 NO 6 RD, RICHMOND, BC"
447,Richmond Pro Badminton Centre,"130-5800 MINORU BLVD, RICHMOND, BC"
463,Place Maillardville Community Centre,"1200-1200 CARTIER AVE, COQUITLAM, BC"
595,Shuttlesport Badminton Academy,"1120-550 SHERLING PL, PORT COQUITLAM, BC"
625,Langley Sportsplex,"100-20165 91A AVE, LANGLEY CITY, BC"
627,National Hockey Training Centre,"110-20740 MUFFORD CRESCENT, LANGLEY CITY, BC"
646,ThirdSpace,"1-1381 GEORGE ST, WHITE ROCK, BC"
686,Cordova Bay 55 Plus,"1-5238 CORDOVA BAY ROAD, VICTORIA, BC"
708,Cook Street Village Activity Centre,"1-380 COOK ST, VICTORIA, BC"
712,Oaklands Community Centre,"1-2827 BELMONT AVE, VICTORIA, BC"
837,Vancouver Island YMCA-YWCA (Eagle Creek) ,"110-25 HELMCKEN RD, VICTORIA, BC"
1296,Elevation Place,"100-700 RAILWAY AVE, CANMORE , AB"
1316,Community Yoga Cochrane,"5-123 2 AVE W, COCHRANE, AB"
1504,Edmonton Chinese Seniors Recreation Group,"3Y-11111 JASPER AVE, EDMONTON, AB"
1600,Magic Space Indoor Playground,"102-9058 22 AVE SW, EDMONTON, AB"
1603,Amazone Playzone,"173-3210 118 AVE NW, EDMONTON, AB"
1651,Moyer Recreation Centre,"4-54569 RANGE ROAD 215, STRATHCONA COUNTY, AB"
1656,Strathcona Olympiette Centre,"25-52029 RANGE ROAD 224, STRATHCONA COUNTY, AB"
1668,Josephburg,"57-54569 RANGE RD 215, STRATHCONA COUNTY, AB"
1669,Josephburg - Area 5 Seniors,"57A-54569 RANGE RD 215, STRATHCONA COUNTY, AB"
1673,South Cooking Lake,"100-22106 S COOKING LAKE RD, STRATHCONA COUNTY, AB"
1674,South Cooking Lake Seniors' Centre,"102-22106 S COOKING LAKE RD, STRATHCONA COUNTY, AB"
1767,Dale Fisher Arena,"32 HAVEN AVENUE, DEVON, AB"
1823,Family Centre Downtown,"225-200 4 AVENUE SOUTH, LETHBRIDGE, AB"
1950,Federation des Francophones de Saskatoon,"211-308 4TH AVE N, SASKATOON, SK"
2060,Freight House Recreation and Leisure Centre,"1-200 ISABEL STREET, WINNIPEG, MB"
2404,Rhino Sports and Playland,"7-199 BELL BLVD, BELLEVILLE, ON"
2408,Township of Tyendinaga Recreation Hall,"363 MCFARLANE ROAD RR 1, TYENDINAGA, ON"
2736,Grainger Training Centre,"7-398 NASH RD N, HAMILTON, ON"
2776,Burlington Pond Hockey Training Centre,"8-845 HARRINGTON CT, BURLINGTON, ON"
2960,Williamsburg Community Centre,"620-1187 FISCHER-HALLMAN RD, KITCHENER, ON"
3595,Britannia Woods Community House,"9-115 RITCHIE ST, OTTAWA, ON"
3745,Spi Sports,"7939 HIGHWAY 7, SELWYN, ON"
3793,Cheeky Monkeys' Indoor Playland - St Catharines,"10-188 BUNTING RD, ST. CATHARINES, ON"
3794,Jungle Jim's Play Centre Inc.,"12-140 WELLAND AVE, ST. CATHARINES, ON"
3841,Jurassic Joe's Indoor Playground,"4-4465 DRUMMOND RD, NIAGARA FALLS, ON"
3903,Wainfleet Arena,"31940 HIGHWAY 3, WAINFLEET, ON"
3925,South Neebing Community Centre,"1841 MOUNTAIN RD., RR 4, THUNDER BAY, ON"
3993,Archers Arena Toronto,"3-1140 SHEPPARD AVE W, TORONTO, ON"
4143,Toronto Sport & Social Club,"420-245 EGLINTON AVE E, TORONTO, ON"
4376,Arab Community Centre,"209-555 BURNHAMTHORPE RD, TORONTO, ON"
4450,Skate Loft,"5-763 WARDEN AVENUE, TORONTO, ON"
4529,Aqua-Tots Swim Schools Mississauga,"6-1970 DUNDAS ST E, MISSISSAUGA, ON"
4563,Erin Mills Soccer Club,"3-3135 UNITY DR, MISSISSAUGA, ON"
4640,Jellybeenz,"11-10 BRAMHURST AVE, BRAMPTON, ON"
4673,More Fun With Bounce,"8-170 BOVAIRD DR W, BRAMPTON, ON"
4696,Kidnetix Edu-Play Centre,"15-35 VAN KIRK DR, BRAMPTON, ON"
4733,Rouge River Community Centre,"2-120 ROUGE BANK DRIVE, MARKHAM, ON"
4752,K.C.Badminton Club,"3-2680 14TH AVE, MARKHAM, ON"
4772,Everyday Badminton and Table Tennis Club,"1-480 HOOD RD, MARKHAM, ON"
4853,WonderKids Gymnastics Centre,"9-34 DONCASTER AVE, VAUGHAN, ON"
4870,Air Riderz Adventure Park Vaughan,"3-570 APPLEWOOD CRESCENT, VAUGHAN, ON"
4883,Yes!School,"8-9000 KEELE ST, VAUGHAN, ON"
4933,KC Badminton Club Richmond Hill Campus,"3-30 VOGELL RD, RICHMOND HILL, ON"
4938,Explore Center Indoor Playground,"1-385 ENFORD RD, RICHMOND HILL, ON"
4990,Kidsopolis,"15-407 SPEERS RD, OAKVILLE, ON"
5006,Endless Fun,"14-400 MONARCH AVE, AJAX, ON"
5056,Eazy-Peazy,"1-8750 REGIONAL RD 25, MILTON, ON"
5060,Ontario Curling Association,"10-1400 BAYLY ST, PICKERING, ON"
5061,The Fun Factory Indoor Playground And Party Centre,"15-1420 BAYLY ST, PICKERING, ON"
5064,Enchanted Castle Inc.,"16-1755 PLUMMER ST, PICKERING, ON"
5071,123 Party & Bounce Inc.,"266-1885 CLEMENTS RD, PICKERING, ON"
5099,The Funnery,"3-611 STEVEN CT, NEWMARKET, ON"
5168,KC Badminton Aurora-Newmarket Campus,"2-159 DON HILLOCK DR, AURORA, ON"
5181,Laugh Out Loud Kids Indoor Playground,"5-50 INNOVATOR AVE, WHITCHURCH-STOUFFVILLE, ON"
5234,LotsOfun,"1-10 CENTENNIAL RD, ORANGEVILLE, ON"
5248,Jungle Oasis Playground,"2-695 RIDDELL RD, ORANGEVILLE, ON"
5562,Loisirs de l'Acadie de Montreal,"100-1405 BOUL HENRI-BOURASSA O, MONTREAL, QC"
5599,Montreal LGBTQ+ Community Centre,"110-2075 RUE PLESSIS, MONTREAL, QC"
5782,Projet Changement,"130-4450 ST HUBERT ST, MONTREAL, QC"
5788,Centre des femmes solidaires et engagées,"100-1586 RUE FLEURY E, MONTREAL, QC"
5938,Centre Communautaire des Aines et Ainees de Longueuil,"122-300 RUE LAMARRE, LONGUEUIL, QC"
6021,Complexe Sportif Bell,"104-8000 BOULEVARD LEDUC, BROSSARD, QC"
6101,Centre NAGO,"302-11695 MONTEE SAINTE MARIANNE, MIRABEL, QC"
6232,West Island Community Shares,"200-610 BOUL SAINT-JEAN, POINTE-CLAIRE, QC"
7057,Soccer Club Mistral De Sherbrooke,"258-350 RUE TERRILL, SHERBROOKE, QC"
7250,Musquodoboit Valley Recreation Office,"12046 HWY 224, MIDDLE MUSQUODOBOIT, NS"
7252,Sheet Harbour Recreation Office ,"22756 HIGHWAY 7, SHEET HARBOUR, NS"
7274,Lake Echo Community Centre,"3168A HWY 7, LAKE ECHO , NS"
5073,Pickering Museum Village,"2365 CONCESSION RD 6, GREENWOOD, ON"
824,McTavish Academy of Art,"1720 MCTAVISH RD, NORTH SAANICH, BC"
1872,Balgonie Stardome,"HW 364 & S RAILWAY ST, BALGONIE, SK"
2269,St. Adolphe Curling Club,"327 ST. ADOLPHE RD, ST. ADOLPHE, MB"
3307,Harmony Creek Golf Centre,"1000 BLOOR ST E, OSHAWA, ON"
5235,Orangeville & District Seniors Centre,"26 BYTHIA ST, ORANGEVILLE, ON"
6691,Aréna Frank-Robinson,"96 RUE DU PATRIMOINE, GATINEAU, QC"
7197,St.Andrews Community Centre,"7071 BAYERS RD, HALIFAX, NS"
7361,Carleton Community Centre,"120 MARKET PL, SAINT JOHN, NB"
